Expected Arrival Date;Effective Arrival Date;Starting Airport;Airline;Flight number;Flight status;ExpectedDelay;Arrival Date Delta [minutes]
26.05.18 17:30;26.05.18 17:55;Lisbon;TAP PORTUGAL;TP948;ARRIVED;;25
26.05.18 17:30;26.05.18 18:20;Nice;EASYJET;EZS1384;ARRIVED;;50
26.05.18 17:30;26.05.18 19:04;Porto;SWISS;LX2079;ARRIVED;;94
26.05.18 17:40;26.05.18 18:34;Lisbon;SWISS;LX2093;ARRIVED;;54
26.05.18 17:45;26.05.18 17:35;Barcelona;VUELING;VY6201;ARRIVED;;-10
26.05.18 17:50;;Madrid;IBERIA;IB3486;CANCELLED;;
26.05.18 18:00;26.05.18 18:44;Frankfurt;LUFTHANSA;LH1224;ARRIVED;;44
26.05.18 18:10;26.05.18 18:32;Helsinki;FINNAIR;AY1533;ARRIVED;;22
26.05.18 18:15;26.05.18 18:14;London LHR;BRITISH AIRWAYS;BA734;ARRIVED;;-1
26.05.18 18:15;26.05.18 19:23;London LGW;EASYJET;EZS8476;ARRIVED;;68
26.05.18 18:35;26.05.18 18:35;Athens;SWISS;LX1823;ARRIVED;;0
26.05.18 18:35;26.05.18 18:57;Lisbon;EASYJET;EZS1446;ARRIVED;;22
26.05.18 18:35;26.05.18 19:07;Zurich;SWISS;LX2810;ARRIVED;;32
26.05.18 18:40;26.05.18 18:44;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1933;ARRIVED;;4
26.05.18 18:45;26.05.18 19:28;Frankfurt;LUFTHANSA;LH1226;ARRIVED;;43
26.05.18 18:45;26.05.18 21:30;Figari;EASYJET;EZS1550;ARRIVED;;165
26.05.18 18:55;26.05.18 19:26;Warsaw;LOT POLISH AIRLINES;LO415;ARRIVED;;31
26.05.18 19:20;26.05.18 19:22;Vienna;AUSTRIAN;OS575;ARRIVED;;2
26.05.18 19:20;26.05.18 19:39;Porto;TAP PORTUGAL;TP942;ARRIVED;;19
26.05.18 19:35;26.05.18 19:40;Munich;LUFTHANSA;LH2388;ARRIVED;;5
26.05.18 19:40;26.05.18 19:31;Paris CDG;AIR FRANCE;AF1042;ARRIVED;;-9
26.05.18 19:50;26.05.18 19:21;Dubai;EMIRATES;EK083;ARRIVED;;-29
26.05.18 19:55;26.05.18 21:23;London LHR;SWISS;LX349;ARRIVED;;88
26.05.18 20:20;26.05.18 21:30;Barcelona;EASYJET;EZY1406;ARRIVED;;70
26.05.18 20:25;26.05.18 20:12;London LHR;BRITISH AIRWAYS;BA736;ARRIVED;;-13
26.05.18 20:40;26.05.18 20:30;Moscow SVO;AEROFLOT;SU2382;ARRIVED;;-10
26.05.18 20:40;26.05.18 20:32;Porto;EASYJET;EZY1460;ARRIVED;;-8
26.05.18 20:55;26.05.18 21:05;Edinburgh;EASYJET;EZY6907;ARRIVED;;10
26.05.18 21:05;26.05.18 22:28;London LGW;EASYJET;EZY8480;ARRIVED;;83
26.05.18 21:35;26.05.18 21:24;Istanbul IST;TURKISH AIRLINES;TK1329;ARRIVED;;-11
26.05.18 21:35;26.05.18 21:34;Mykonos;EASYJET;EZS1578;ARRIVED;;-1
26.05.18 21:35;26.05.18 21:37;Zurich;SWISS;LX2816;ARRIVED;;2
26.05.18 21:40;26.05.18 21:18;Tenerife;EASYJET;EZS1542;ARRIVED;;-22
26.05.18 21:55;26.05.18 21:55;Brussels;BRUSSELS AIRLINES;SN2725;ARRIVED;;0
26.05.18 21:55;26.05.18 22:31;Paris CDG;AIR FRANCE;AF1242;ARRIVED;;36
26.05.18 21:55;26.05.18 23:30;Ajaccio;EASYJET;EZS1308;ARRIVED;;95
26.05.18 22:00;26.05.18 21:56;London LHR;SWISS;LX357;ARRIVED;;-4
26.05.18 22:00;26.05.18 22:03;Heraklion;SWISS;LX2351;ARRIVED;;3
26.05.18 22:05;26.05.18 22:10;Frankfurt;LUFTHANSA;LH1228;ARRIVED;;5
26.05.18 22:05;26.05.18 22:27;Madrid;IBERIA;IB3482;ARRIVED;;22
26.05.18 22:15;26.05.18 22:42;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1937;ARRIVED;;27
26.05.18 22:25;;Bordeaux;EASYJET;EZS1376;CANCELLED;;
26.05.18 22:25;;Toulouse;EASYJET;EZS1476;CANCELLED;;
26.05.18 22:25;26.05.18 22:06;London LHR;BRITISH AIRWAYS;BA738;ARRIVED;;-19
26.05.18 22:40;;Malaga;EASYJET;EZS1436;CANCELLED;;
26.05.18 22:40;26.05.18 23:08;Heraklion;EASYJET;EZS1560;ARRIVED;;28
26.05.18 22:40;26.05.18 23:12;Reykjavik;EASYJET;EZS1522;ARRIVED;;32
26.05.18 22:45;26.05.18 23:37;Brindisi;EASYJET;EZS1546;ARRIVED;;52
26.05.18 22:50;26.05.18 22:47;Pristina;EASYJET;EZS1484;ARRIVED;;-3
26.05.18 22:50;26.05.18 22:54;Malta;EASYJET;EZS1496;ARRIVED;;4
26.05.18 22:55;;Ibiza;EASYJET;EZS1520;CANCELLED;;
26.05.18 22:55;27.05.18 00:18;Marrakech;EASYJET;EZS1312;ARRIVED;;83
26.05.18 22:55;26.05.18 23:47;Hurghada;EASYJET;EZS1570;ARRIVED;;52
26.05.18 23:00;26.05.18 22:52;Rome FCO;ALITALIA;AZ568;ARRIVED;;-8
26.05.18 23:25;26.05.18 23:44;Zurich;SWISS;LX2818;ARRIVED;;19
26.05.18 23:45;26.05.18 23:47;Lisbon;TAP PORTUGAL;TP946;ARRIVED;;2
27.05.18 07:40;27.05.18 08:22;Washington;UNITED AIRLINES;UA974;ARRIVED;;42
27.05.18 07:45;27.05.18 07:17;Abu Dhabi;ETIHAD AIRWAYS;EY051;ARRIVED;;-28
27.05.18 07:45;27.05.18 09:25;Newark;UNITED AIRLINES;UA956;ARRIVED;;100
27.05.18 07:50;27.05.18 07:36;Palma Mallorca;EASYJET;EZY1514;ARRIVED;;-14
27.05.18 08:15;27.05.18 08:24;Barcelona;EASYJET;EZY1404;ARRIVED;;9
27.05.18 08:20;27.05.18 08:29;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1925;ARRIVED;;9
27.05.18 08:20;27.05.18 09:16;Paris CDG;AIR FRANCE;AF1542;ARRIVED;;56
27.05.18 08:25;27.05.18 08:17;Zurich;SWISS;LX2802;ARRIVED;;-8
27.05.18 08:30;27.05.18 08:36;Frankfurt;LUFTHANSA;LH1212;ARRIVED;;6
27.05.18 08:45;27.05.18 08:57;Vienna;AUSTRIAN;OS571;ARRIVED;;12
27.05.18 08:50;;Barcelona;VUELING;VY6207;CANCELLED;;
27.05.18 08:55;27.05.18 09:03;Munich;LUFTHANSA;LH2382;ARRIVED;;8
27.05.18 09:15;27.05.18 08:56;New York;SWISS;LX023;ARRIVED;;-19
27.05.18 09:15;27.05.18 10:48;London LTN;EASYJET;EZY2051;ARRIVED;;93
27.05.18 09:20;;Nice;EASYJET;EZS1378;CANCELLED;;
27.05.18 09:20;27.05.18 09:28;London LHR;BRITISH AIRWAYS;BA724;ARRIVED;;8
27.05.18 09:40;27.05.18 09:34;Porto;EASYJET;EZY1452;ARRIVED;;-6
27.05.18 09:40;27.05.18 09:40;Paris CDG;AIR FRANCE;AF1642;ARRIVED;;0
27.05.18 09:45;27.05.18 09:31;Tel Aviv;EL AL;LY345;ARRIVED;;-14
27.05.18 09:45;27.05.18 09:36;Stockholm;SAS SCANDINAVIAN AIRLINES;SK2615;ARRIVED;;-9
27.05.18 09:45;27.05.18 10:03;Warsaw;LOT POLISH AIRLINES;LO417;ARRIVED;;18
27.05.18 09:50;27.05.18 09:42;Split;EASYJET;EZS1318;ARRIVED;;-8
27.05.18 09:55;27.05.18 09:52;Oslo;NORWEGIAN;DY1602;ARRIVED;;-3
27.05.18 10:00;27.05.18 09:49;Rome FCO;EASYJET;EZS1344;ARRIVED;;-11
27.05.18 10:00;27.05.18 10:18;Manchester;EASYJET;EZY1947;ARRIVED;;18
27.05.18 10:05;27.05.18 10:05;Frankfurt;LUFTHANSA;LH1214;ARRIVED;;0
27.05.18 10:05;27.05.18 10:09;Toronto;AIR CANADA;AC834;ARRIVED;;4
27.05.18 10:05;27.05.18 10:21;Paris ORY;EASYJET;EZS1398;ARRIVED;;16
27.05.18 10:10;27.05.18 10:36;Minsk;BELAVIA;B2871;ARRIVED;;26
27.05.18 10:15;27.05.18 10:30;Bristol;EASYJET;EZY6153;ARRIVED;;15
27.05.18 10:15;27.05.18 10:39;Edinburgh;EASYJET;EZY6905;ARRIVED;;24
27.05.18 10:15;27.05.18 11:10;Palma Mallorca;SWISS;LX2161;ARRIVED;;55
27.05.18 10:20;27.05.18 10:23;Zurich;SWISS;LX2804;ARRIVED;;3
27.05.18 10:25;27.05.18 10:43;London LGW;EASYJET;EZY8462;ARRIVED;;18
27.05.18 10:35;27.05.18 10:27;Beirut;MEA MIDDLE EAST AIRLINES;ME213;ARRIVED;;-8
27.05.18 10:35;27.05.18 10:43;Istanbul IST;TURKISH AIRLINES;TK1917;ARRIVED;;8
27.05.18 10:35;27.05.18 11:07;Brussels;BRUSSELS AIRLINES;SN2713;ARRIVED;;32
27.05.18 10:40;27.05.18 11:00;Olbia;EASYJET;EZS1502;ARRIVED;;20
27.05.18 10:55;27.05.18 10:51;Catania;EASYJET;EZS1562;ARRIVED;;-4
27.05.18 10:55;27.05.18 11:04;Lisbon;EASYJET;EZY1442;ARRIVED;;9
27.05.18 10:55;27.05.18 11:49;Porto;EASYJET;EZS1454;ARRIVED;;54
27.05.18 11:00;27.05.18 11:02;Luxembourg;AVANTI AIR;9Z301H;ARRIVED;;2
27.05.18 11:00;27.05.18 11:07;London LHR;BRITISH AIRWAYS;BA726;ARRIVED;;7
27.05.18 11:10;27.05.18 11:17;Liverpool;EASYJET;EZY7283;ARRIVED;;7
27.05.18 11:10;27.05.18 11:30;Paris CDG;AIR FRANCE;AF1842;ARRIVED;;20
27.05.18 11:10;27.05.18 11:36;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1927;ARRIVED;;26
27.05.18 11:10;27.05.18 12:11;Alicante;EASYJET;EZS1426;ARRIVED;;61
27.05.18 11:15;27.05.18 11:33;Prague;SWISS;LX1473;ARRIVED;;18
27.05.18 11:15;27.05.18 11:59;Santiago C;EASYJET;EZS1338;ARRIVED;;44
27.05.18 11:25;27.05.18 11:34;Rome FCO;ALITALIA;AZ576;ARRIVED;;9
27.05.18 11:30;27.05.18 11:54;Madrid;IBERIA;IB3480;ARRIVED;;24
27.05.18 11:30;27.05.18 12:04;London LHR;SWISS;LX353;ARRIVED;;34
27.05.18 11:30;27.05.18 12:07;Malaga;EASYJET;EZS1432;ARRIVED;;37
27.05.18 11:30;27.05.18 12:32;Brussels;EASYJET;EZS1534;ARRIVED;;62
27.05.18 11:40;27.05.18 11:58;Moscow SVO;AEROFLOT;SU2380;ARRIVED;;18
27.05.18 11:45;27.05.18 12:29;Madrid;EASYJET;EZS1416;ARRIVED;;44
27.05.18 11:50;27.05.18 12:18;Lisbon;TAP PORTUGAL;TP952;ARRIVED;;28
27.05.18 12:05;27.05.18 12:22;Florence;SWISS;LX1691;ARRIVED;;17
27.05.18 12:05;27.05.18 12:38;Dublin;SWISS;LX411;ARRIVED;;33
27.05.18 12:10;27.05.18 12:18;London LHR;BRITISH AIRWAYS;BA728;ARRIVED;;8
27.05.18 12:15;27.05.18 12:36;Naples;EASYJET;EZY1554;ARRIVED;;21
27.05.18 12:15;27.05.18 12:43;Paris CDG;AIR FRANCE;AF1742;ARRIVED;;28
27.05.18 12:25;27.05.18 13:16;Lisbon;EASYJET;EZS1444;ARRIVED;;51
27.05.18 12:45;27.05.18 13:07;Kiev;UKRAINE INTERNATIONAL;PS485;ARRIVED;;22
27.05.18 12:50;27.05.18 14:27;Malaga;EASYJET;EZS9436;ARRIVED;;97
27.05.18 12:55;27.05.18 13:00;Porto;TAP PORTUGAL;TP938;ARRIVED;;5
27.05.18 13:00;27.05.18 13:07;Marrakech;SWISS;LX2201;ARRIVED;;7
27.05.18 13:10;27.05.18 13:34;Zurich;SWISS;LX2824;ARRIVED;;24
27.05.18 13:15;27.05.18 13:26;Dubai;EMIRATES;EK089;ARRIVED;;11
27.05.18 13:20;27.05.18 14:07;Frankfurt;LUFTHANSA;LH1216;ARRIVED;;47
27.05.18 13:30;27.05.18 13:17;Doha;QATAR AIRWAYS;QR099;ARRIVED;;-13
27.05.18 13:30;27.05.18 14:43;Ajaccio;EASYJET;EZS1306;ARRIVED;;73
27.05.18 13:35;27.05.18 13:37;London LGW;EASYJET;EZS8466;ARRIVED;;2
27.05.18 13:35;27.05.18 13:49;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1929;ARRIVED;;14
27.05.18 13:50;27.05.18 13:58;Larnaca;COBALT AIR;CO364;ARRIVED;;8
27.05.18 13:50;27.05.18 14:03;Paris CDG;AIR FRANCE;AF1442;ARRIVED;;13
27.05.18 13:55;27.05.18 14:10;Istanbul IST;TURKISH AIRLINES;TK1921;ARRIVED;;15
27.05.18 14:00;27.05.18 14:01;Zurich;SWISS;LX2806;ARRIVED;;1
27.05.18 14:00;27.05.18 14:10;Cairo;EGYPTAIR;MS771;ARRIVED;;10
27.05.18 14:05;27.05.18 13:51;Istanbul SAW;PEGASUS;PC953;ARRIVED;;-14
27.05.18 14:15;27.05.18 14:20;Frankfurt;LUFTHANSA;LH1218;ARRIVED;;5
27.05.18 14:15;27.05.18 15:19;Cagliari;EASYJET;EZS1508;ARRIVED;;64
27.05.18 14:20;27.05.18 14:12;London LHR;BRITISH AIRWAYS;BA730;ARRIVED;;-8
27.05.18 14:25;27.05.18 14:42;Madrid;IBERIA;IB3490;ARRIVED;;17
