Expected Arrival Date;Effective Arrival Date;Starting Airport;Airline;Flight number;Flight status;ExpectedDelay;Arrival Date Delta [minutes]
06.06.18 21:00;06.06.18 20:47;Cagliari;EASYJET;EZS1508;ARRIVED;;-13
06.06.18 21:05;06.06.18 21:17;London LGW;EASYJET;EZY8480;ARRIVED;;12
06.06.18 21:05;06.06.18 21:40;Manchester;EASYJET;EZY1953;ARRIVED;;35
06.06.18 21:35;06.06.18 21:34;Zurich;SWISS;LX2816;ARRIVED;;-1
06.06.18 21:35;06.06.18 21:42;Nice;SWISS;LX529;ARRIVED;;7
06.06.18 21:45;06.06.18 22:16;London LCY;SWISS;LX447;ARRIVED;;31
06.06.18 21:50;06.06.18 23:04;Vienna;AUSTRIAN;OS577;ARRIVED;;74
06.06.18 21:55;06.06.18 22:18;Paris CDG;AIR FRANCE;AF1242;ARRIVED;;23
06.06.18 21:55;06.06.18 23:06;Brussels;BRUSSELS AIRLINES;SN2725;ARRIVED;;71
06.06.18 22:00;06.06.18 22:07;London LHR;SWISS;LX357;ARRIVED;;7
06.06.18 22:05;06.06.18 22:11;Frankfurt;LUFTHANSA;LH1228;ARRIVED;;6
06.06.18 22:05;06.06.18 22:18;Madrid;IBERIA;IB3482;ARRIVED;;13
06.06.18 22:10;06.06.18 22:14;Paris ORY;EASYJET;EZS1392;ARRIVED;;4
06.06.18 22:15;06.06.18 22:46;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1937;ARRIVED;;31
06.06.18 22:15;06.06.18 23:11;Nantes;EASYJET;EZS1366;ARRIVED;;56
06.06.18 22:25;06.06.18 22:52;London LHR;BRITISH AIRWAYS;BA738;ARRIVED;;27
06.06.18 22:30;06.06.18 22:21;Rome FCO;EASYJET;EZS1346;ARRIVED;;-9
06.06.18 22:30;06.06.18 22:25;Porto;EASYJET;EZS1464;ARRIVED;;-5
06.06.18 22:30;06.06.18 22:38;Barcelona;EASYJET;EZS1410;ARRIVED;;8
06.06.18 22:35;06.06.18 22:30;Madrid;EASYJET;EZS1418;ARRIVED;;-5
06.06.18 22:40;06.06.18 22:33;Reykjavik;EASYJET;EZS1522;ARRIVED;;-7
06.06.18 22:40;06.06.18 23:08;Heraklion;EASYJET;EZS1560;ARRIVED;;28
06.06.18 22:40;06.06.18 23:52;Brussels;EASYJET;EZS1538;ARRIVED;;72
06.06.18 22:45;06.06.18 23:01;Nice;EASYJET;EZS1388;ARRIVED;;16
06.06.18 22:50;06.06.18 23:33;London LGW;EASYJET;EZS8482;ARRIVED;;43
06.06.18 22:55;;Belgrade;EASYJET;EZS1438;CANCELLED;;
06.06.18 22:55;06.06.18 22:56;Madrid;SWISS;LX2049;ARRIVED;;1
06.06.18 22:55;06.06.18 23:44;Prague;SWISS;LX1473;ARRIVED;;49
06.06.18 22:55;06.06.18 23:48;Copenhagen;EASYJET;EZS1470;ARRIVED;;53
06.06.18 23:00;06.06.18 22:48;Rome FCO;ALITALIA;AZ568;ARRIVED;;-12
06.06.18 23:00;06.06.18 23:15;Munich;LUFTHANSA;LH2390;ARRIVED;;15
06.06.18 23:25;06.06.18 23:46;Zurich;SWISS;LX2818;ARRIVED;;21
06.06.18 23:45;06.06.18 23:43;Lisbon;TAP PORTUGAL;TP946;ARRIVED;;-2
07.06.18 07:15;07.06.18 06:44;Beijing;AIR CHINA;CA861;ARRIVED;;-31
07.06.18 07:35;07.06.18 07:31;Brussels;BRUSSELS AIRLINES;SN2711;ARRIVED;;-4
07.06.18 07:40;07.06.18 08:17;Washington;UNITED AIRLINES;UA974;ARRIVED;;37
07.06.18 07:45;07.06.18 07:36;Newark;UNITED AIRLINES;UA956;ARRIVED;;-9
07.06.18 07:45;07.06.18 07:37;Luxembourg;LUXAIR;LG8361;ARRIVED;;-8
07.06.18 07:50;07.06.18 07:33;Palma Mallorca;EASYJET;EZY1514;ARRIVED;;-17
07.06.18 08:00;07.06.18 07:48;Nice;EASYJET;EZY1378;ARRIVED;;-12
07.06.18 08:15;07.06.18 09:11;Barcelona;EASYJET;EZY1404;ARRIVED;;56
07.06.18 08:20;07.06.18 08:08;Paris CDG;AIR FRANCE;AF1542;ARRIVED;;-12
07.06.18 08:20;07.06.18 08:20;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1925;ARRIVED;;0
07.06.18 08:25;07.06.18 08:12;Zurich;SWISS;LX2802;ARRIVED;;-13
07.06.18 08:30;07.06.18 08:52;Frankfurt;LUFTHANSA;LH1212;ARRIVED;;22
07.06.18 08:40;07.06.18 08:24;Dusseldorf;EUROWINGS;EW9742;ARRIVED;;-16
07.06.18 08:45;07.06.18 08:50;Vienna;AUSTRIAN;OS571;ARRIVED;;5
07.06.18 08:50;07.06.18 08:44;Berlin SXF;EASYJET;EZY1590;ARRIVED;;-6
07.06.18 08:50;07.06.18 08:44;Barcelona;VUELING;VY6207;ARRIVED;;-6
07.06.18 08:55;07.06.18 09:03;Munich;LUFTHANSA;LH2382;ARRIVED;;8
07.06.18 09:00;;Ljubljana;ADRIA AIRWAYS;JP378;CANCELLED;;
07.06.18 09:05;07.06.18 08:56;Paris ORY;EASYJET;EZS1398;ARRIVED;;-9
07.06.18 09:10;07.06.18 08:53;London LGW;EASYJET;EZY8462;ARRIVED;;-17
07.06.18 09:15;07.06.18 09:24;New York;SWISS;LX023;ARRIVED;;9
07.06.18 09:20;07.06.18 09:29;London LHR;BRITISH AIRWAYS;BA724;ARRIVED;;9
07.06.18 09:25;07.06.18 09:33;Brussels;EASYJET;EZS1534;ARRIVED;;8
07.06.18 09:35;07.06.18 09:41;London LHR;SWISS;LX359;ARRIVED;;6
07.06.18 09:40;07.06.18 09:37;Paris CDG;AIR FRANCE;AF1642;ARRIVED;;-3
07.06.18 09:45;07.06.18 09:20;Tel Aviv;EL AL;LY345;ARRIVED;;-25
07.06.18 09:45;07.06.18 09:47;Warsaw;LOT POLISH AIRLINES;LO417;ARRIVED;;2
07.06.18 09:50;07.06.18 10:03;London LCY;BRITISH AIRWAYS;BA2281;ARRIVED;;13
07.06.18 09:55;07.06.18 09:58;Porto;EASYJET;EZY1452;ARRIVED;;3
07.06.18 10:05;07.06.18 09:56;Frankfurt;LUFTHANSA;LH1214;ARRIVED;;-9
07.06.18 10:05;07.06.18 10:06;Split;EASYJET;EZS1318;ARRIVED;;1
07.06.18 10:05;07.06.18 10:09;Toronto;AIR CANADA;AC834;ARRIVED;;4
07.06.18 10:10;07.06.18 10:00;Helsinki;FINNAIR;AY1531;ARRIVED;;-10
07.06.18 10:15;07.06.18 10:20;London LTN;EASYJET;EZY2051;ARRIVED;;5
07.06.18 10:15;07.06.18 10:22;Bristol;EASYJET;EZY6153;ARRIVED;;7
07.06.18 10:20;07.06.18 10:12;Zurich;SWISS;LX2804;ARRIVED;;-8
07.06.18 10:20;07.06.18 10:17;Rome FCO;EASYJET;EZS1344;ARRIVED;;-3
07.06.18 10:25;07.06.18 10:25;Copenhagen;SAS SCANDINAVIAN AIRLINES;SK613;ARRIVED;;0
07.06.18 10:30;07.06.18 10:31;Athens;AEGEAN AIRLINES;A3854;ARRIVED;;1
07.06.18 10:30;07.06.18 11:42;Amsterdam;EASYJET;EZS1352;ARRIVED;;72
07.06.18 10:35;;Brussels;BRUSSELS AIRLINES;SN2713;CANCELLED;;
07.06.18 10:35;07.06.18 10:14;Istanbul IST;TURKISH AIRLINES;TK1917;ARRIVED;;-21
07.06.18 10:40;07.06.18 10:28;Beirut;MEA MIDDLE EAST AIRLINES;ME213;ARRIVED;;-12
07.06.18 10:45;07.06.18 10:50;London LGW;EASYJET;EZS8464;ARRIVED;;5
07.06.18 10:55;07.06.18 10:40;Catania;EASYJET;EZS1562;ARRIVED;;-15
07.06.18 10:55;07.06.18 10:46;Rome FCO;ALITALIA;AZ576;ARRIVED;;-9
07.06.18 10:55;07.06.18 11:01;Lisbon;EASYJET;EZY1442;ARRIVED;;6
07.06.18 11:00;07.06.18 10:47;London LHR;BRITISH AIRWAYS;BA726;ARRIVED;;-13
